"তোমাদের মেধা নেই বলে মডেল হতে পারছো না, নিজেদের গায়ের রঙ কে দোষ দিয়ো না",coRAC
ওই ফকিরের কালো পোলা আমাদের সাথে খেতে পারবে না,coRAC
"আমি একজন বর্ণবাদী হয়ে জন্মেছি এবং আমি একজন বর্ণবাদী হয়েই মরব, যতক্ষণ না প্রতিটি মূল্যহীন নিগারকে ঘিরে ফেলা হয় এবং ঝুলে থাকা নিগাররা পৃথিবীর শ্বেত আমেরিকার ময়লা হয় ততক্ষণ পর্যন্ত আমি বিশ্রাম নেব না",coRAC
দুশ্চরিত্রা নিগা আমাকে মিস করে,coRAC
যদি আপনি সেই খুনের খেলাটি নিয়ে না থাকেন তাহলে ভগ নিগা চুপ করুন,coRAC
সমকামী নিগাস আজ রাতে দুশ্চরিত্রাদের মতো কাজ করার জন্য অপেক্ষা করতে পারেনি,coRAC
কেন একটি গরিলা সবসময় একটি ভ্রুকুটি থাকে কারণ দশ মিলিয়ন বছরে এটি একটি নিগার হবে,coRAC
"ফাক নিগার, ফ্যাগটস, চিঙ্কস এবং নিগার এবং যারা সাদা নয় তাদের সাথে",coRAC
প্রমাণ যে নিগার হয় ফ্যাগট  ধোন চেহারা এই দুই একটি দম্পতি হোমো গুণ্ডা,coRAC
নিগার ফাঁদ প্রতিবার কাজ করার নিশ্চয়তা দেয়,coRAC
শ্বেতাঙ্গদের হেল্পলাইন তাদের নিজ দেশে আক্রমণের সুবিধা দেয় বিশ্বাসঘাতকদের কোন আত্মা নেই তাদের পুড়িয়ে ফেলা উচিত,coRAC
কোথায় তোমার আম্মু এবং বাবা তুমি ছোট নিগা,coRAC
শুভ সকাল সাদা মানুষ তোমাকে চুদি,coRAC
আমার একটি সমস্যা আছে তাই নিগার নিগা প্রেমিক তাদের অর্ধ প্রজাতির টার্ড একটি বুলেট পাবে যদি আপনার বাস্তব জীবনের আমেরিকান পরিবারের চিরিওস চিত্রণে সমস্যা হয় আপনার শীট খুলে দিন এবং ক্যালেন্ডারটি দেখুন,coRAC
একজন বিদেশী কিভাবে মিস আমেরিকা জিততে পারে সে আরব বেকুব,coRAC
অ্যাপালাচিয়ান শ্বেতাঙ্গরা নিগ্রোদের চেয়ে দরিদ্র এবং তারা ছিটকে পড়ে না,coRAC
